label,smile1,smile2
1,CCOc1ccccc1OCCN[C@H](C)Cc1ccc(OC)c(S(N)(=O)=O)c1,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc(Cl)c1Cl
0,C[C@@H](Oc1ccc2[nH]nc(/C=C/c3cnn(CCO)c3)c2c1)c1c(Cl)cncc1Cl,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(I)cc1
0,O=P(O)(O)OCCCc1c[nH]c2ccccc12,N[C@@H](c1ccccc1)c1ccc(-c2ncnc3[nH]cnc23)cc1
1,CC(=O)NC[C@H]1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21
0,O=S(CC(O)=NC/C=C\COc1cc(CN2CCCCC2)ccn1)Cc1ccco1,CC(=O)N[C@H](CSSC[C@H](N)C(=O)O)C(=O)N[C@H](C)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H](C)C(=O)N[C@H](CCCNC(=N)N)C(N)=O
1,NNCCc1ccccc1,Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1
1,CN(C)CCC=C1c2ccccc2CCc2ccccc21,CN[C@@H](C)Cc1ccccc1
1,COc1cccc([C@@]2(O)CCCC[C@@H]2CN(C)C)c1,COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)nc(-c2ncccn2)nc1OCCO
1,CCO,NS(=O)(=O)Cc1noc2ccccc12
1,CC(C)[N+]1(C)[C@H]2CC[C@@H]1C[C@H](OC(=O)C(CO)c1ccccc1)C2,CC(C)(C)NCC(O)c1cc(Cl)c(N)c(Cl)c1
0,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1ccc(O)cc1c2[Si](C)(C)C(C)(C)C,Oc1c(Br)cc(-c2nc3ccccc3o2)cc1Br
0,COc1cc(=O)n(C)c2c3c(ccc12)OCO3,[NH3+]CCCCC(=O)O
0,Ic1cn[nH]c1,COC1=CC(c2cc3ccccc3[nH]2)=N/C1=C\c1[nH]c(C)cc1C
1,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1
1,Cc1cccc(Nc2ccncc2S(=O)(=O)NC(=O)NC(C)C)c1,CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O
0,Cn1cc(C(=O)[C@@H]2CCc3[nH]cnc3C2)c2ccccc21,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC
1,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,CC(=O)O[C@H]1C(=O)[C@]2(C)[C@@H](O)C[C@H]3OC[C@@]3(OC(C)=O)[C@H]2[C@H](OC(=O)c2ccccc2)[C@]2(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c3ccccc3)c3ccccc3)C(C)=C1C2(C)C
1,CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1
0,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1cc3c(cc1c2CN1CCN(C)CC1)OCCO3,[Mg+2].[OH-].[OH-]
1,Cc1nc2c([nH]1)CCN(C(=O)c1ccc(NC(=O)c3ccccc3-c3ccccc3)cc1)c1ccccc1-2,O=C1CN(N=Cc2ccc(-c3ccc([N+](=O)[O-])cc3)o2)C(=O)N1
0,C[C@@H]1C/C=C/C=C/C=C/C=C/[C@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N)[C@@H]2O)C[C@@H]2O[C@](O)(C[C@@H](O)C[C@H]3O[C@@H]3/C=C/C(=O)O1)C[C@H](O)[C@H]2C(=O)O,[Gd+3]
0,CNc1nc(-c2cccc(NC(=O)c3ccc(C(=O)OC)cc3)c2)c2cc(OC)c(OC)cc2n1,CCC(COC(=O)c1cc(OC)c(OC)c(OC)c1)(c1ccccc1)N(C)C
1,CCC(=O)N(c1ccccc1)C1(COC)CCN(CCc2cccs2)CC1,COc1cc2c(cc1OC)CC(=O)N(CCCN(C)C[C@H]1Cc3cc(OC)c(OC)cc31)CC2
1,C[N+]1(C)CCC(OC(=O)C(O)(c2ccccc2)C2CCCC2)C1,CN1[C@H]2CC[C@@H]1C[C@H](OC(=O)C(O)c1ccccc1)C2
1,O=c1ncnc2[nH][nH]cc1-2,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CCC[C@H]1C(=O)O
0,OC[C@H]1O[C@@H](N=C(O)N=C(O)c2ccccc2)[C@H](O)[C@@H](O)[C@@H]1O,O=Cc1ccccc1O[P@@](=O)(O)OCc1ccccc1
1,CCC(C)C1(CC)C(=O)NC(=O)NC1=O,CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C
1,Cc1cnc(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc2)cn1,N#C[C@@H]1C[C@@H]2C[C@@H]2N1C(=O)[C@@H](N)C12CC3CC(CC(O)(C3)C1)C2
0,CC(C)O[PH](=O)OC(C)C,CCc1nc(N)nc(N)c1C#CCc1cc(OC)ccc1OC
1,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1
1,C=C(c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C,CN(C)CCOc1ccc(/C(=C(/CCCl)c2ccccc2)c2ccccc2)cc1
0,COCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\OC)c3csc(N)n3)[C@H]2SC1,CC(CCCCCCCCCCCCc1ccc([123I])cc1)CC(=O)O
0,C=Cc1c(C)c2n3c1=Cc1c(C)c(CCC(=O)O)c4n1[Fe]31n3c(c(C)c(CC)c3C=2)C=c2c(C)c(CCC(=O)O)c(n21)=C4,O=C(Nc1ccc(Cl)c(S(=O)(=O)N2CCNCC2)c1O)Nc1cccc(F)c1Cl
1,CCN(CC)CC(=O)Nc1c(C)cccc1C,Cc1nc2c([nH]1)CCN(C(=O)c1ccc(NC(=O)c3ccccc3-c3ccccc3)cc1)c1ccccc1-2
0,C[C@]12CC[C@H]3[C@@H](CCC4=C(Cl)C(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O,CC(C)(C)C(=O)OCC(C)(C)[C@@H](O)C(=O)NCCC(=O)NCCO
0,N[C@@H](CCC(=O)N[C@@H](CSCO)C(=O)NCC(=O)O)C(=O)O,CC(O)=N[C@@H]1[C@@H](N)C=C(C(=O)O)O[C@H]1[C@H](O)[C@H](O)CO
0,O=C1CCC/C=C\CCOC(=O)c2c(O)cc(O)c(Cl)c2C1,C[N+]1(CC2CC2)[C@H]2C[C@H](OC(=O)[C@H](CO)c3ccccc3)C[C@@H]1[C@H]1O[C@@H]21
0,C[C@@]1(c2cc(-c3cncnc3)c(F)cc2F)CCSC(N)=N1,CCc1ccccc1N=C(O)Oc1ccc2c(c1)C1(C)CC[N+](C)([O-])C1N2C
1,COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1,CCC1(C2=CCCCCC2)C(=O)NC(=O)NC1=O
0,Nc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O,Cc1nc(-c2ccccn2)nc(NCCc2ccccc2)c1Cl
0,CNC(=O)c1ccc2cc([C@@]3(O)CCn4cncc43)ccc2c1,CCCS(=O)c1ccc2nc(N=C(O)OC)[nH]c2c1
0,CCCCCCCC(=O)OC[C@@H](O)[C@@H](OC)[C@@H]1OC(C(=O)O)=C[C@H](NC(=N)N)[C@H]1N=C(C)O,CCN(Cc1ccccc1)C(=O)Cn1c(=O)n(C)c2cnc(-c3ccccc3)nc21
1,CC(C)(C)NCC(O)COc1cccc2c1CCC(=O)N2,OCCN(CCO)c1nc(N2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1
1,OC(CCN1CCCC1)(c1ccccc1)C1CCCCC1,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1
1,CCCN[C@H]1CCc2nc(N)sc2C1,OCCOCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1
0,CCOC/C=C/c1ccc(-c2nc(-c3ccc(NC(C)C)cc3)c(-c3ccc(NC(C)C)cc3)[nH]2)cc1,O=P(O)(O)OC[C@@H](O)[C@@H](O)C(O)=NO
0,C[N+](C)(C)CC(=O)[O-].OC(O)C(Cl)(Cl)Cl,COc1ccc(OC)c(CN(C)c2cnc3nc(N)nc(N)c3c2)c1
1,NC[C@H](O)c1ccc(O)c(O)c1,CC(C)NCC(O)c1cc(O)cc(O)c1
0,[81Kr],COC(=O)[C@@]1(Cc2ccc(OCc3cc(C)nc4ccccc34)cc2)C[C@@H]1C(=O)NO
1,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,CN1CCN2c3ccccc3Cc3ccccc3C2C1
1,COc1ccc(CC2c3cc(OC)c(OC)cc3CC[N+]2(C)CCC(=O)OCCCCCOC(=O)CC[N+]2(C)CCc3cc(OC)c(OC)cc3C2Cc2ccc(OC)c(OC)c2)cc1OC.O=S(=O)([O-])c1ccccc1.O=S(=O)([O-])c1ccccc1,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2
0,NCCc1ccn[nH]1,COC[C@@H](NC(C)=O)C(=O)NCc1ccccc1
1,CC(=O)[O-].CC(=O)[O-].[Ca+2],CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3[C@H](O)[C@@H]12
1,CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,C[C@]12C[C@H](O)[C@@]3(F)[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO
1,CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@@H]12)S(=O)(=O)c1ccc(N)cc1
0,C[S@@+]([O-])CCCCN=C=S,CCCCC(C)(C)[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCC/C=C/C(=O)OC
1,Cn1c(=O)c2[nH]cnc2n(C)c1=O,[Li+]
0,O=C1CC[C@H](NC(=O)Cc2ccccc2)C(=O)N1,CCCCCCCCCCCC[N+](C)(C)[O-]
1,CCCN(CCC)CCc1cccc2c1CC(=O)N2,CCOC(=O)Nc1ccc(NCc2ccc(F)cc2)cc1N
1,CNNCc1ccc(C(=O)NC(C)C)cc1,CN(C)CCC=C1c2ccccc2Sc2ccc(Cl)cc21
0,CC(C)[C@H](CO)Nc1nc(Nc2ccc(C(=O)O)c(Cl)c2)c2ncn(C(C)C)c2n1,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1
1,N#C[C@@H]1C[C@@H]2C[C@@H]2N1C(=O)[C@@H](N)C12CC3CC(CC(O)(C3)C1)C2,N#Cc1ccccc1-c1cc(-c2ccccn2)cn(-c2ccccc2)c1=O
1,O=C(O)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O,COc1ccc2c(c1)N(C[C@H](C)CN(C)C)c1ccccc1S2
0,N[C@@H](Cc1cccc2ccccc12)C(=O)O,COP(=S)(NC(C)C)Oc1ccc(Cl)cc1Cl
1,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO,CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C
0,C[C@]12CC[C@H]3[C@H]([C@@H]1[C@@H]1C[C@@H]1[C@@]21CCC(=O)O1)[C@H]1C[C@H]1C1=CC(=O)CC[C@@]13C,O=C(O)c1ccccc1NC(=O)N1CCC(c2ccccc2C(F)(F)F)CC1
1,C[C@](N)(Cc1ccc(O)cc1)C(=O)O,CN(C)S(=O)(=O)c1ccc2c(c1)N(CCCN1CCC(CCO)CC1)c1ccccc1S2
1,Clc1ccc(C(c2ccccc2Cl)C(Cl)Cl)cc1,CN(C)S(=O)(=O)c1ccc2c(c1)N(CCCN1CCC(CCO)CC1)c1ccccc1S2
1,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,CCc1nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CCOc1ccccc1
0,Cc1cc(/C=C/c2ccccc2)cc(C)c1O,C[C@]12CC(=O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO
